title,color,type,avg_rating,num_of_ratings,selling_price,MRP
Hey for FIER Bluetooth Headset Bluetooth without Mic He...,White, In the Ear,4,226,160,3800
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4,6245,599,499
MICROBOTS single ear bluetooth best quality for all sma...,Multicolor, In the Ear,3.7,578,150,1999
Portronics Harmonics 216 Bluetooth Headset,Blue, In the Ear,3.3,1842,759,2999
Mytrack 288 Pro in-Ear with ASAP charging Version 5.0 N...,Black, In the Ear,4.1,404,499,1998
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,4.1,46980,254,7999
"Noise Air Buds Pro with Active Noise Cancellation, Quad...",Celeste Blue, True Wireless,4,239,2999,1599
REDMI SonicBass Neckband Bluetooth Headset,Black, In the Ear,4,2834,1299,4999
"PunnkFunnk K20 Gaming Headset, Over Ear Gaming Headphon...",Black, On the Ear,3.5,1713,949,2499
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.9,55,533,999
WeCool In Ear USB Type C earphones/ headphones with mic...,Black, In the Ear,3.7,117,399,1999
Callmate AirBolt Pro (TWS Buds) With Bass Earbuds | IPX...,Black, Silver,3.8,631,999,599
ZINUX Cyan 3.5mm Headphone with in-line Mic for Hi-Fi A...,Blue, Multicolor,3.6,745,148,1999
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Black, In the Ear,3.9,221939,379,1599
Tiitan N2 Bluetooth Headset,Black, In the Ear,4.2,72556,329,4990
boAt Airdopes 381 with ASAP charge Bluetooth Headset,Mint Green, True Wireless,3.9,35280,1799,3499
JBL T450BT Extra Bass Bluetooth Headset,Black, On the Ear,3.3,119,2374,4999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.5,573,1299,500
samsung uflex Headphone Wired Headset,White, In the Ear,3.7,0,220,2099
ULTADOR Wireless NECKBAND BLUETOOTH 40 HOURS BATTERY MU...,Black, In the Ear,5,0,899,1699
ZSIV BT-22 SUPER BASS Grey With Long Life Battery Bluet...,Black, In the Ear,5,0,449,2499
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,3.7,0,699,0
BRD BLUETOOTHHEADSET-A8 Bluetooth Headset,Black, True Wireless,3.4,142,220,999
AMJ Wireless Magnet Bluetooth EarphoneSports for Runnin...,Black, In the Ear,4,3,139,349
ZEBRONICS Yoga Bluetooth Headset,Black, Yellow,3.6,800,949,2499
Clerby TWS Wireless Bluetooth Earphone Portable Bluetoo...,White, In the Ear,3.3,320,299,999
MASOORI Headset11 5.0 P With Mic Bluetooth Headset Blue...,White, True Wireless,3.6,14,399,1999
N2B MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset,Black, White,3.3,26491,421,2848
CatBull Buds Wireless With 24 Hours Music Playback Blue...,Black, In the Ear,2.3,3,233,899
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
APPLE MNHF2ZM/A Wired Headset,White, In the Ear,4.1,11138,1900,4495
N2B MAGNET RED & BLACK-K1-I7 Pack of 4 Bluetooth Blueto...,Black, White,3.3,4387,470,999
TECHFIRE TF_44 realme Buds Wireless Bluetooth Headset B...,black,Yellow,3.1,369,599,3499
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,333036,999,1299
"Borneo Opp.o Premium Ultra HD Sound sports,|Gym|Running...",Black, In the Ear,3.7,19,241,2499
ZEBRONICS Zeb-Rush Wired Gaming Headset,Red, On the Ear,4.1,172,1149,2499
Aroma NB119 Bullet - 40 Hours Playtime Bluetooth Neckba...,Black, In the Ear,3.8,825,528,3800
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,3.8,48825,599,699
realme Buds Wired Headset,Black, In the Ear,3.9,4849,449,1799
Ambrane NeoBuds-33 Bluetooth Headset,White, True Wireless,3.4,20,999,990
WOKIT Mini Wireless Bluetooth Stereo In-Ear Headset / E...,Black, On the Ear,3.3,1842,299,1998
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.2,120,254,1999
Sunnybuy L21 True Wireless Portable Bluetooth Headset w...,Black, True Wireless,3.6,1787,899,1499
Sunnybuy In pods 12 Earphone Stereo v5.0 with Touch Sen...,Blue, In the Ear,3.5,1205,999,1999
Grostar TWS A6S ear buds True Wireless A6S Bluetooth (B...,Black, True Wireless,4,2834,667,2499
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.6,72,533,999
AXYRO AR-7-SINGLE-WHITE-210 Bluetooth Headset,White, Steel,3.3,716,167,399
MJ Hub HBS-730 Wireless/Bluetooth Earphone Compatible A...,Black, In the Ear,3.9,35280,199,999
Oxhox 4.1 Bluetooth Magnetic Sports Handset for Smartph...,Red, Black,5,14,148,4999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,4.2,824592,1299,1490
RPM Euro Games Gaming Earphones Headphones For Mobile P...,Blue, In the Ear,3.7,1233,699,999
boAt Bassheads 220 Wired Headset,Molten Orange, In the Ear,3.7,6288,549,1999
FIER FGN MAGNET RED & BLACK-K1-I7 Pack of 4 Bluetooth H...,Red and Black, White,4.3,310831,468,799
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",Black, White,4,1934,217,2990
boAt Rockerz 400 Bluetooth Headset,Green, Grey,3.4,176,1299,5499
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,3.9,13327,2493,1499
KASODH B0T-1 Bluetooth Headset,Red, Black,4,7195,298,1999
U&I Fighter Series Deep Bass Neckband with 12 Hours Mus...,Black, In the Ear,3.3,4052,399,950
SAMSUNG Original EHS64AVFWECINU Wired Headset,White, In the Ear,4.1,287,499,2999
TECHFIRE Wired Extra Bass On-Ear Headphones Wired Heads...,Black, On the Ear,4.1,3030,259,4999
U&I Leather Series 100hours Music Time Bluetooth Headse...,Red1, In the Ear,3.4,0,899,0
Boult Audio FluidX Bluetooth Headset,Black, On the Ear,5,0,1199,0
tapfuture airpro Bluetooth Headset,White, True Wireless,3.4,302,699,2499
N2B PACK OF 2 Bluetooth Headset V4.1 with Mic Bluetooth...,Black, True Wireless,3.5,1204,242,1700
Ucool Prime 48 Hours Playtime Wireless Neckband Earphon...,Red, In the Ear,4,805,599,1996
DigiClues B-235 Wireless Neckband with Mic Powerful Ste...,Black, True Wireless,3.8,1212,699,2999
Grostar bluetooth headphone Bluetooth Headset (TEAL GRE...,TEAL GREEN, In the Ear,3.9,27,549,1999
meoww 3.5mm Deep Bass For O_PPO Reno Series Wired Heads...,White, In the Ear,3.9,3281,170,699
KAWL EP61_WT_Wired Earphones_with HD Microphone Wired H...,White, In the Ear,4,819,88,399
Nokia T2000 Rapid Charge Neckband Bluetooth Headset,Midnight Black, In the Ear,3.5,459,1999,2999
Portronics POR-1070 Conch Gama Wired Headset,Red, In the Ear,3.5,55,249,599
FIER FGN-MGNET-B2 Bluetooth Headset Bluetooth Headset,Black, In the Ear,3.7,674,158,599
Allmusic OPP.O Ultra HD Sound Premium Bass Sports /Gym/...,Black, In the Ear,3.8,10766,270,999
"Allmusic Op.po F11 pro,A3s,F9 Pro,K1,A5,A7,F9,F7,A5s,F5...",Black, In the Ear,3.7,85,199,749
Enacfire X12 Moonwalk TWS in ear Bluetooth Earbuds Head...,Black, True Wireless,3.5,182,799,5500
realme Buds Air Pro Active Noise Cancellation Enabled B...,Matte Black, True Wireless,3.3,643,4999,5999
DigiClues Extra Bass Live 200 Bluetooth Headset,Black, True Wireless,3.6,1093,599,1999
CADNUT Super Extra Bass On-Ear Wired Headphone In-line ...,Blue, On the Ear,4.2,55,235,1999
LIFE MUSIC high quality HBS 730 Neckband wireless Sport...,Black, In the Ear,4,6781,270,1199
"CatBull Kaju Bluetooth earpiece, Mini S530 Bluetooth He...",Black, True Wireless,3.6,89,127,499
Nu Republic Rush X6 With Environmental Noise Cancellati...,Blue, True Wireless,4,43,749,1999
ZEBRONICS Zeb-Iron Head Wired Gaming Headset,Black, On the Ear,3.8,86505,999,2799
ZEBRONICS ZEB-BANG Bluetooth Headset,Orange, On the Ear,3.8,13,795,1599
"YODNSO Op_po F9 Pro, F11 A3s, A7, A5, A83, F5, F7, K1 E...",White, In the Ear,4.2,6771,149,800
IMS TWS i12 Earpods Bluetooth Wireless Earbuds Bluetoot...,White, True Wireless,3.7,256,499,1299
realme Buds Air Neo Bluetooth Headset,Red, True Wireless,3.9,5788,2499,2999
Muzifit Boomband RX135 Bluetooth Wireless Neckband with...,Grey, In the Ear,3.8,665,499,2299
Soundcore by Anker R100 Fast charging TWS with 25 hours...,White, True Wireless,4,56,1799,4999
BRD BLUETOOTHHEADSET-A17 Bluetooth Headset,White, True Wireless,3.7,3672,170,798
Noise One Wireless Bluetooth Headset,Calm Blue, On the Ear,4.2,7050,1329,3999
Aroma NB120 Pro Bigtime - 60 Hours Playtime Bluetooth N...,Red, Black,3.6,947,598,3499
tvAt HIGH BASS ISOLATED EARPHONE Wired Headset,White, In the Ear,3.9,55,147,299
Para IN-EAR WIRED EARPHONES WITH MIC Wired Headset(Cyan...,Cyan, In the Ear,3.8,48,179,399
Cosmic Byte GS430 Wired Gaming Headset,Green, On the Ear,3.6,101,929,1499
P3A Magnet Red & K1 White Bluetooth Pack of 2 Bluetooth...,Red, White,3.7,1373,259,1998
Callmate CollarTune (35 hours Backup) Wireless Neckband...,Gold, In the Ear,4.1,3030,660,1999
NIRUM Sports Handsfree HBS 730 Wireless Dual Connect He...,Black, In the Ear,3.8,2696,220,399
Worricow 100% Wireless Portable Sh-12 Sports Stereo Hea...,Black, On the Ear,3.8,914,479,1499
Boult Audio AirBass SoulPods Bluetooth Headset,White, True Wireless,3.3,0,2499,9999
Boult Audio FluidX Bluetooth Headset,Black, On the Ear,1,0,1199,4999
TECHFIRE M-31 Neckband hi-bass Wireless Bluetooth headp...,Black, In the Ear,1,0,598,3850
HOPPUP SONIC with 20 Hours Play Time Bluetooth Headset,Red, On the Ear,3.7,0,699,1999
Boult Audio Bassbuds X1 Wired Headset,Red, In the Ear,4.1,166582,299,999
ZEBRONICS Zeb-Rush Wired Gaming Headset,Blue, On the Ear,4.1,172,1149,2499
Ubon CL-20FB Wireless Neckband | Built-in 6hrs Bluetoot...,Red, In the Ear,3.6,39073,559,2499
Hitage 11 Best Bass Clear Sound Wired Headset,White, In the Ear,4.2,52,109,399
TECHFIRE Neckband wireless headphones with 16 hours Pla...,Red, In the Ear,3.5,843,399,2550
Duet JBL Mini Bluetooth Headset,Black, In the Ear,3.6,26,239,999
JBL T165BT Bluetooth Headset,Black, In the Ear,3.8,3871,1699,2699
ZEBRONICS Zeb-Bang Bluetooth Headset,Black, On the Ear,4,6781,840,1599
Cosmic Byte H11 Gaming Wired Gaming Headset,Purple, On the Ear,4.2,3533,895,1199
TECHFIRE Platinum Series Neckband - Low Price Bluetooth...,Red, In the Ear,3.8,3440,578,2850
the gifting tree KDM M8 Wired Headset Wired Headset,Black, In the Ear,3.3,3,279,799
CatBull S530 Hands-Free earphone for All Smartphone Blu...,Black, True Wireless,4.3,4,138,899
FKU BLUETOOTH NECKBAND WITH Memory Card Slot Bluetooth ...,Grey, In the Ear,3.4,373,499,1499
"MIFKRT Dual Driver Wired Headset with Mic (Night Black,...",Black, In the Ear,3.5,86,299,1399
PHILIPS TAT4205BK (TWS) with IPX5 Splash-Proof Design B...,Black, True Wireless,3.6,1471,1499,6999
U&I Nice Series IPX4 Neckband with 10 Hours Battery Bac...,Black, In the Ear,3.9,4050,599,2299
OPPO Enco W11 With Noise Cancellation for calls Bluetoo...,White, True Wireless,4,23199,2499,3999
Nokia T3010 Bluetooth Headset,Crystal Blue, True Wireless,4.1,55,1499,2099
FLYSTO BT9-M165O B-WHITE Bluetooth Headset,Black::White, In the Ear,3.6,558,300,799
"AMJ Audio Headsets with 10mm Drivers, Sports Bluetooth ...",Black, In the Ear,4.4,23,369,799
Nu Republic Dawn X3 Bluetooth Headset,Neon,Black,3.5,1288,475,1499
Portronics Harmonics 216 Bluetooth Headset,Black, In the Ear,4,6245,799,1999
Aroma NB119 Freedom - 72 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.8,27,749,2999
AMJ HBS_730Bluetooth Bluetooth Headset,Black, In the Ear,3.5,140,220,699
DigiClues Gaming TWS With Charging Case Stereo Sound Qu...,Black, True Wireless,3.8,1676,1799,4999
"SE WORLD P47 WIRELESS HEADPHONE Bluetooth, Wired Headse...",Black, On the Ear,3.8,42,399,1999
PHILIPS TAN2215BK/94 Splash Proof Wireless Neckband Blu...,Black, In the Ear,3.6,89,1749,3999
Ubon Classic Fit BT-160 Single ear Bluetooth Headset,Black, True Wireless,3.9,188,579,1699
"YODNSO Op_po F9 Pro, F11 A3s, A7, A5, A83, F5, F7, K1 E...",White, In the Ear,3.5,4,149,800
Tecno Ace A2 se Bluetooth Headset,Ace A2, True Wireless,3.3,353,394,799
ISC BUDS LIVE IN Black with Charging Case(Black) Blueto...,Black, True Wireless,3.4,350,999,1999
TECHFIRE Neckband wireless headphones with 36 hours Pla...,Grey, Blue,3.8,131,599,3850
FPX Sprint with 30 hrs Playtime and Fast Charging Bluet...,Gold, In the Ear,3.6,393,799,2999
kk2 Single-Side Talking K1 Lightweight Wireless Bluetoo...,Black, True Wireless,4.2,35,186,689
RFV1 TWS Bluetooth Earphones Touch Sensor with in Built...,White, True Wireless,3.7,45,499,999
gogadget 2 Combo Earphone MH3169 Wired Headset,White, In the Ear,4,10950,232,899
zofia 2EARBUD Bluetooth Headset,Black, True Wireless,4.2,38,1299,2999
DigiClues High Quality Bluetooth Headset,Black, True Wireless,4.1,0,999,1999
JBL Endurance RunBT IPX5 Sports Bluetooth Headset,Black, Grey,5,0,2499,3199
SONY MDR-EX155AP Gaming Earphones Clear Sound Extra Bas...,Black, In the Ear,5,0,1290,0
"FPX Roar Wireless Bluetooth neckband, Magneticbuds 33HR...",Grey , Silver,4,2193,699,2499
FLYSTO b11 bluetoothmini s650 mini bluetooth earphone B...,Black, True Wireless,3.3,157,449,1299
Aroma NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Orange, In the Ear,4,2909,669,2999
Clerby TWS Wireless Bluetooth Earphone Portable Bluetoo...,White, In the Ear,3.3,320,299,999
Sennheiser PC 5 CHAT Wired Headset,Black, On the Ear,4.1,214,1490,5999
drums GAMING BASS BUDS 11 Bluetooth Headset,Black, True Wireless,4,4,1079,3990
SONY C400 Bluetooth Headset,Blue, In the Ear,3.9,14726,3690,1999
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,2499
OUD 150Hrs Music Time Wireless Deep Bass Stereo Sound N...,Black, In the Ear,4.2,2111,799,3999
DigiClues Smart TWS L-21 With Charging Case Bluetooth H...,Black, True Wireless,4,1934,999,1099
Blaupunkt EM01 Wired Headset,Black, In the Ear,4.2,33645,349,5499
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,3.3,869,2493,3499
INFINITY by Harman Glide 501 Bluetooth Headset,Black, On the Ear,3.3,1842,1479,4999
DigiClues T-2 TWS With Charging Case & Power-Bank HQ So...,Black, True Wireless,3.5,761,1299,3990
boAt Rockerz 355 BBD Edition Bluetooth Headset,Active Black, In the Ear,3.5,524,2499,1998
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.8,89,254,399
pervious Wired Earphones with mic Light-weight and tang...,White, In the Ear,4,333036,179,999
FIER F Pack-2 new headset combo Bluetooth Headset,White, Black,3.8,891,220,1299
IMMUTABLE 98T4 _ Wireless Neckband Bluetooth Earphone H...,Black, Yellow,4,5,238,3499
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,1143,999,2499
Grostar HKT-6 Wireless Earpiece Bluetooth 5.0 Earbuds w...,Black, True Wireless,3.3,1100,799,1999
Grostar Enacfire E60 Bullets Bluetooth Headset,Red, In the Ear,4.1,4074,599,2999
Remembrand ThunderBass 450 Bluetooth Headset,Active Black, In the Ear,3.4,181,599,3800
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4,2834,599,1599
Callmate Single Ear Headset with 20 Hours Backup Blueto...,Black, Blue,3.9,304,529,2000
PTron Soundster Lite Bluetooth Headset,Black, On the Ear,3.5,13,799,999
BRD BLUETOOTHHEADSET-B2 Bluetooth Headset,Black, True Wireless,3.7,6288,174,2499
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.9,191,533,2499
"Ubon Wireless Neckband FLEETBEAT CL-76, Built-in SD-car...",Black, In the Ear,3.5,3534,799,899
TEQIR Stereo Music Hanging Neckband Wireless Earphone B...,Black, In the Ear,4,29660,499,999
A R Wireless compatible with Headset Bluetooth SPORT ME...,Red, Multicolor,3.9,35280,188,799
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",Black, White,4.3,310831,217,1699
blue seed BBD-S19 9d holographic Sound Bluetooth Headse...,Multicolor, True Wireless,3.2,52,662,1299
Nu Republic Dawn X2 Bluetooth Headset,Red, Black,3.6,10,475,6999
Soundcore by Anker Life Note True Wireless Bluetooth He...,Black, True Wireless,3.3,26491,2494,4999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.4,0,1299,2800
boAt Rockerz 400 Super Extra Bass Bluetooth Headset,Blue, Black,1,0,1299,5999
drums TWS WIRELESS 015 Bluetooth Headset,Black, True Wireless,1,0,899,1499
Qexle Neckband BT Compatible 730 With Light Bass Sport ...,Black, In the Ear,4,0,399,2848
N2B MAGNET-K1-I7 Pack of 3 Bluetooth Bluetooth Headset,Black, White,3,0,421,0
Crezor air_pods pro headphone buds Bluetooth Headset Bl...,White, True Wireless,3.6,97,749,2999
TECHFIRE BULLET M-31 Pro 2 Neckband Wireless Bluetooth ...,TEAL GREEN, In the Ear,3.7,54,599,2850
Clownfish HEADPHON BLUETOOTH WIRELESS I-12 BLACK IN THE...,Black, True Wireless,3.6,8279,469,1999
ZEBRONICS ZEB-COROLLA Wired Headset,Black, In the Ear,3.5,2649,199,399
Hitage Round i like METAL EARPHONE earphone with One Ke...,Black Metal, In the Ear,3.5,129,129,349
POKRYT BT26 Long Life Battery Backup 24 Hours With Mic ...,Black, In the Ear,3.7,49,899,1999
Callmate Flex Curve (80 Hours Backup) Wireless Neckband...,Gold, In the Ear,4.2,47,745,2199
phinics i12 Earpods Bluetooth Headset Bluetooth Headset...,Pink, True Wireless,3.3,518,549,1199
Foxne Point One side Wireless Bluetooth Headset 12h Bat...,Black, True Wireless,3.8,155,622,1999
N2B ADVANCED MAGNET RED Bluetooth Headset,Red, Gold,4.8,5,173,1199
FIGER BT SL 231 Bluetooth Headset,Silver, Black,3.9,14726,499,1999
TIGENECY LOW PRICE ALL MOBILE SUPPORTED COMBO -K1 Bluet...,Black, In the Ear,4.4,108,225,999
FUTURESTARRKK Air_pods pro wireless headphone with char...,White, True Wireless,4.2,10,1499,2999
Cosmic Byte Uranus RGB LED Wired Gaming Headset,Devil Red, Black,4,389,1554,1599
SONY C400 Bluetooth Headset,Black, In the Ear,3.9,34,3600,3990
U&i Prime Shuffle 4 IPX5 Bluetooth Headset with 15 Hour...,Green, In the Ear,3.5,16,999,3999
ZOYASLIX Best Sam_sung ys Hendfree S6 FOR J4/J5/J7/J8/A...,White, In the Ear,4.8,6,202,800
Ubon BT-5720 Rapstar Wireless 5.0 On Ear Headphone 10 H...,Black, On the Ear,3.5,1638,999,1999
RJFuture I12 TWS Earphone Wireless Earbuds Bluetooth He...,White, In the Ear,4.1,12,434,1199
Hitage NBT-6578+ 41 HOURS GRATE DESIGN ORIGINAL SOUND W...,Multicolor, In the Ear,3.4,6829,799,1999
Hey for FIER K1 B PACK OF 2 Bluetooth Headset V4.1 Blue...,Black, True Wireless,3.9,1893,201,899
wow wireless Duel Driver Wired Headset (Blue In ear) Wi...,Blue, In the Ear,3.8,355,235,999
STYLELTROICS super bass Earphone for Hua_wei /Sam_sung ...,White, In the Ear,4.3,7,240,1199
ALTRONICS High Bass Universal Wired Earphone Mic For V1...,White, In the Ear,4,41082,299,599
icall BestSound Latest P47 With Mic With 6 Hour Battery...,Multicolor, On the Ear,4.3,47,420,1999
Ubon UB-785 Champ Earphone Wired Headset,Black, In the Ear,3.6,6222,149,175
Ubon CL-66 Sound King 70 Hrs Backup Wireless 5.0 Neckba...,Multicolor, In the Ear,3.1,583,1299,3999
"FPX Emerald In Ear Neckband 60Hr Playtime SD card Slot,...",Grey, In the Ear,3.8,3179,679,2999
Worricow Sport HBS-730 Neckband Wireless Bluetooth Wate...,Black, In the Ear,3.3,102,239,1999
ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset,Blue, On the Ear,4.3,4051,799,1199
DettoZap Bluetooth i12s Wireless Earphone with Mic and ...,Shining White, True Wireless,3.8,355,489,1499
Reborn 30 Hours non-Stop Backup Unquie HQ Neckband Wire...,Black, In the Ear,4,3142,549,1999
CASADOMANI Dual Twins Wireless Earbuds with Mic Mini Bl...,White, True Wireless,4.3,0,349,800
Gannu earbuds i12 5.0 With Mic Bluetooth Bluetooth Head...,White, True Wireless,5,0,399,1799
ZEBRONICS ZEB-BRO+ Extra Heavy bass earphone Wired Head...,Black, In the Ear,4,0,228,349
DigiClues Upto 8 Hrs Playtime With Mic Bluetooth Headse...,Black, True Wireless,3.7,0,649,2499
KOTION EACH KOTION EACH_G2000 Wired Gaming Headset,Black/Blue, On the Ear,1,0,1525,1649
FPX Emerald with 60 hrs Playtime Bluetooth Headset,Blue, In the Ear,1,0,759,2999
JOCOBOO Wireless Sweatproof Stereo Headphone Best Buy B...,Black, In the Ear,3.5,0,255,1599
SONY WI-XB400 Extra Bass Wireless Stereo Headset Blueto...,Blue, In the Ear,4,0,3319,4990
JOCOBOO Wireless Sweatproof Stereo Headphone Best Buy B...,Black, In the Ear,4,4689,255,1599
SONY WF-XB700 With 18 Hours Battery Life Bluetooth Head...,Blue, True Wireless,3.7,116,6990,11990
Ubon Computer Headphone UB-1460 with Mic Wired Headset,Black, On the Ear,3.9,10398,499,1199
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,4.2,5,379,1999
Bhanu 100% Party Sound Powerfull Dynamic Drivers for Ef...,Black, In the Ear,3.6,148,299,1899
DigiClues S109 Single Wireless 18 Hours of Calling with...,Black, True Wireless,3.4,120,599,1999
Qexle HBS-730 bluetooth headset with Bluetooth Headset ...,Black, In the Ear,4,1934,449,1399
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,3.4,35,2493,5499
SmartKart Classical Sound earphone 3.5 mm jack with ext...,White, In the Ear,4.3,36720,198,899
JBL Endurance Run Wired Headset,Red, In the Ear,3.8,13159,1099,1599
JBL Tune 125BT Bluetooth Headset,Grey, In the Ear,3.3,1842,1614,2999
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.3,193,254,1998
FLYSTO K1 bluetoothmini s650 mini bluetooth earphone CO...,Black, True Wireless,3.8,1212,300,999
"Grostar bluetooth headphone Bluetooth Headset (BLUE, In...",Blue, In the Ear,3.3,1181,549,1999
FIER RRT-MAGNET-3 Bluetooth Headset Bluetooth Headset,Black, In the Ear,4,333036,167,599
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4.6,28,999,3499
youshee tech i7s tws Bluetooth Headset,White, True Wireless,3.6,97,359,999
Crezor air_pods pro headphone buds Bluetooth Headset Bl...,White, True Wireless,3.2,232,749,2999
Stylord RML-BT-1 Bluetooth Headset,Yellow, In the Ear,4,2110,359,2524
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4,2834,599,3800
ZEBRONICS Zeb-Lark Wireless Bluetooth Headset,Red, In the Ear,3.4,1396,999,1449
RJFuture RML NECKBAND Bluetooth Headset,Black, Yellow,3.8,427,219,599
JBL Quantum 100 Wired Gaming Headset,Blue, On the Ear,4,1431,2599,3999
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.9,35280,533,2499
Soundcore by Anker R500 Fast charging neckband with 20 ...,Black, In the Ear,3.6,11,1480,2999
Ubon UB-720 Inline Wired Earphone Wired Headset,Black, In the Ear,3.5,8889,179,399
ZEBRONICS ZEB DUKE 101 Wireless Headphone with Mic Blue...,Black, On the Ear,4,4,944,1899
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.7,6288,1299,4999
