title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP,discount
ZEBRONICS ZEB-SYMPHONY Bluetooth Headset,ZEBRONICS ,Black,In the Ear,4.3,114661,649,2850,2201
TECHFIRE Platinum Series Neckband,TECHFIRE,Blue,In the Ear,3.4,5543,599,3999,3400
Boult Audio Thunder Bluetooth,Boult Audio,Black,On the Ear,4.2,0,1199,1299,100
boAt BassHeads 172 Wired,boAt,Raging Red,In the Ear,5,0,499,999,500
Oxhox Wireless compatible,Oxhox,Red,On the Ear,5,0,147,999,852
Matlek Gaming Headphones,Matlek,Blue,On the Ear,4.1,236,699,1490,791
boAt Rockerz 450 with,boAt,Aqua Blue,On the Ear,4.3,291076,1499,3990,2491
icall BBD-S650 One side,icall ,Black,True Wireless,3.5,17,208,1025,817
Wings Phantom Pro Gaming,Wings Phantom,Black,True Wireless,4,1934,2493,5499,3006
Redmi by Mi Hi-Resolution,Redmi ,Black,In the Ear,4.2,74477,399,599,200